#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
03.03.14;18:20:00;1;0;8842;3;0;0;0;0;231;230;231;28;232
03.03.14;18:15:00;1;9;8841;3;0;0;6;1;251;250;251;28;231
03.03.14;18:10:00;1;31;8841;3;0;6;11;7;259;259;259;29;231
03.03.14;18:05:00;1;76;8838;3;0;22;24;20;324;323;323;29;231
03.03.14;18:00:00;1;109;8831;3;0;32;34;31;355;354;355;29;232
03.03.14;17:55:00;1;109;8822;3;0;31;34;31;353;352;353;30;233
03.03.14;17:50:00;1;235;8812;3;0;76;69;74;396;396;396;30;233
03.03.14;17:45:00;1;135;8793;3;0;36;45;41;367;366;366;30;234
03.03.14;17:40:00;1;112;8781;3;0;33;36;31;355;355;355;30;234
03.03.14;17:35:00;1;200;8772;3;0;60;64;61;387;387;387;31;235
03.03.14;17:30:00;1;266;8755;3;0;91;74;84;402;401;402;31;235
03.03.14;17:25:00;1;347;8732;3;0;104;114;116;412;411;412;32;235
03.03.14;17:20:00;1;400;8703;3;0;127;133;127;416;415;416;32;233
03.03.14;17:15:00;1;522;8669;3;0;171;156;178;422;422;422;32;233
03.03.14;17:10:00;1;604;8626;3;0;188;208;197;426;426;426;33;232
03.03.14;17:05:00;1;757;8575;3;0;255;237;257;430;430;430;34;232
03.03.14;17:00:00;1;906;8511;3;0;289;312;299;434;433;434;34;233
03.03.14;16:55:00;1;948;8435;3;0;317;320;307;434;434;435;34;233
03.03.14;16:50:00;1;1087;8356;3;0;357;363;362;437;436;436;34;233
03.03.14;16:45:00;1;1152;8265;3;0;371;402;375;436;436;436;34;234
03.03.14;16:40:00;1;1295;8169;3;0;435;424;432;437;436;437;34;235
03.03.14;16:35:00;1;1548;8061;3;0;506;536;507;439;439;440;34;235
03.03.14;16:30:00;1;1634;7931;3;0;549;554;534;440;440;440;34;235
03.03.14;16:25:00;1;1701;7795;3;0;570;562;572;441;440;441;34;235
03.03.14;16:20:00;1;1756;7653;3;0;587;577;597;441;441;441;35;235
03.03.14;16:15:00;1;1960;7506;3;0;659;656;657;444;443;443;35;235
03.03.14;16:10:00;1;1861;7342;3;0;625;625;619;443;442;443;35;235
03.03.14;16:05:00;1;1854;7187;3;0;621;623;619;443;442;443;35;236
