#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
01.03.14;18:15:00;1;19;14967;3;0;3;7;4;253;253;253;27;232
01.03.14;18:10:00;1;63;14965;3;0;18;18;17;310;309;309;28;233
01.03.14;18:05:00;1;89;14960;3;0;28;25;25;342;342;342;28;233
01.03.14;18:00:00;1;98;14952;3;0;31;27;28;346;346;346;28;234
01.03.14;17:55:00;1;94;14944;3;0;30;26;27;344;344;344;28;233
01.03.14;17:50:00;1;105;14936;3;0;33;28;32;352;352;352;28;234
01.03.14;17:45:00;1;92;14927;3;0;29;25;27;340;340;340;27;234
01.03.14;17:40:00;1;52;14919;3;0;15;15;14;298;298;298;27;235
01.03.14;17:35:00;1;47;14914;3;0;13;14;12;286;285;285;27;235
01.03.14;17:30:00;1;20;14910;3;0;1;8;4;251;250;250;28;234
01.03.14;17:25:00;1;27;14908;3;0;6;10;6;252;251;251;28;234
01.03.14;17:20:00;1;29;14906;3;0;7;11;6;254;254;254;28;235
01.03.14;17:15:00;1;33;14903;3;0;8;12;8;264;264;264;29;236
01.03.14;17:10:00;1;56;14900;3;0;15;18;14;300;299;300;29;236
01.03.14;17:05:00;1;62;14895;3;0;17;20;16;311;310;311;29;236
01.03.14;17:00:00;1;62;14890;3;0;17;19;15;307;307;308;29;235
01.03.14;16:55:00;1;75;14885;3;0;22;23;19;323;323;324;30;235
01.03.14;16:50:00;1;52;14878;3;0;13;17;12;292;291;292;30;236
01.03.14;16:45:00;1;60;14874;3;0;16;21;15;304;303;303;31;236
01.03.14;16:40:00;1;170;14869;3;0;49;57;50;374;374;374;31;236
01.03.14;16:35:00;1;305;14854;3;0;97;94;100;404;403;404;32;236
01.03.14;16:30:00;1;439;14828;3;0;144;138;141;416;415;415;33;236
01.03.14;16:25:00;1;584;14791;3;0;179;201;193;424;423;423;33;236
01.03.14;16:20:00;1;572;14743;3;0;179;190;192;422;421;422;33;236
01.03.14;16:15:00;1;775;14695;3;0;254;261;251;429;428;429;33;235
01.03.14;16:10:00;1;971;14630;3;0;331;311;321;433;432;433;34;235
01.03.14;16:05:00;1;1066;14548;3;0;352;346;362;434;434;434;34;236
01.03.14;16:00:00;1;1140;14459;3;0;366;396;374;435;434;435;34;237
01.03.14;15:55:00;1;1286;14364;3;0;437;424;423;437;436;437;34;236
01.03.14;15:50:00;1;1417;14256;3;0;475;460;482;439;438;438;34;236
01.03.14;15:45:00;1;1507;14138;3;0;504;500;507;439;439;439;34;236
01.03.14;15:40:00;1;1520;14012;3;0;509;507;508;439;439;439;34;237
01.03.14;15:35:00;1;1539;13885;3;0;513;513;517;439;438;439;35;236
01.03.14;15:30:00;1;1525;13757;3;0;510;507;511;438;438;438;35;235
01.03.14;15:25:00;1;1523;13630;3;0;505;518;505;438;437;438;35;237
01.03.14;15:20:00;1;1596;13503;3;0;526;553;521;438;438;438;35;236
01.03.14;15:15:00;1;1865;13369;3;0;625;618;631;441;440;441;35;237
01.03.14;15:10:00;1;2024;13213;3;0;680;677;680;441;441;441;35;236
01.03.14;15:05:00;1;2204;13044;3;0;743;738;741;444;443;444;35;237
01.03.14;15:00:00;1;2290;12861;3;0;770;769;771;444;444;444;35;237
01.03.14;14:55:00;1;2236;12669;3;0;756;755;744;445;444;445;34;237
01.03.14;14:50:00;1;1828;12484;3;0;610;616;611;441;440;441;34;237
01.03.14;14:45:00;1;1728;12331;3;0;579;569;586;440;439;439;34;236
01.03.14;14:40:00;1;1899;12187;3;0;649;618;643;444;443;444;34;236
01.03.14;14:35:00;1;1559;12029;3;0;527;515;521;440;440;440;34;236
01.03.14;14:30:00;1;1349;11899;3;0;459;434;456;437;436;437;34;236
01.03.14;14:25:00;1;1138;11787;3;0;367;399;370;433;432;432;34;236
01.03.14;14:20:00;1;1094;11692;3;0;352;374;364;431;430;430;35;236
01.03.14;14:15:00;1;1467;11601;3;0;487;498;483;434;433;434;35;237
01.03.14;14:10:00;1;1922;11477;3;0;644;640;648;438;438;438;36;237
01.03.14;14:05:00;1;1941;11317;3;0;651;649;652;438;437;437;36;236
01.03.14;14:00:00;1;2175;11154;3;0;731;730;731;439;438;439;36;236
01.03.14;13:55:00;1;2350;10973;3;0;790;789;792;440;440;440;37;236
01.03.14;13:50:00;1;2728;10776;3;0;921;918;921;441;440;441;37;236
01.03.14;13:45:00;1;2859;10548;3;0;965;964;964;442;442;442;37;236
01.03.14;13:40:00;1;2523;10311;3;0;848;850;851;440;439;439;37;235
01.03.14;13:35:00;1;2867;10101;3;0;965;966;968;440;440;440;38;235
01.03.14;13:30:00;1;3742;9860;3;0;1268;1265;1266;447;447;447;37;236
01.03.14;13:25:00;1;3663;9548;3;0;1240;1238;1239;447;446;447;36;235
01.03.14;13:20:00;1;3198;9243;3;0;1081;1080;1082;446;445;446;35;235
01.03.14;13:15:00;1;2269;8977;3;0;763;763;764;442;441;442;35;234
01.03.14;13:10:00;1;1996;8789;3;0;670;670;670;441;441;441;35;235
01.03.14;13:05:00;1;2014;8623;3;0;677;677;674;443;442;442;35;234
01.03.14;13:00:00;1;1842;8456;3;0;617;614;620;441;440;440;35;233
01.03.14;12:55:00;1;2143;8301;3;0;720;720;719;444;443;444;35;233
01.03.14;12:50:00;1;1964;8123;3;0;659;658;659;442;442;442;35;233
01.03.14;12:45:00;1;2001;7959;3;0;671;671;673;442;441;442;35;232
01.03.14;12:40:00;1;2093;7792;3;0;704;702;702;443;442;443;35;232
01.03.14;12:35:00;1;1635;7618;3;0;546;551;543;439;438;439;35;233
01.03.14;12:30:00;1;1864;7482;3;0;624;619;629;440;439;440;36;232
01.03.14;12:25:00;1;2182;7326;3;0;733;732;734;440;440;440;36;233
01.03.14;12:20:00;1;2662;7144;3;0;896;897;898;441;440;441;37;233
01.03.14;12:15:00;1;2901;6921;3;0;977;979;981;444;443;444;37;232
01.03.14;12:10:00;1;2783;6679;3;0;940;938;939;442;442;442;37;233
01.03.14;12:05:00;1;2892;6446;3;0;974;976;976;443;442;443;37;233
01.03.14;12:00:00;1;2923;6205;3;0;987;985;987;444;443;444;37;233
01.03.14;11:55:00;1;3100;5961;3;0;1047;1047;1048;448;448;448;37;234
01.03.14;11:50:00;1;3083;5703;3;0;1041;1039;1041;449;449;449;37;233
01.03.14;11:45:00;1;2953;5446;3;0;997;994;999;448;447;447;36;233
01.03.14;11:40:00;1;2825;5201;3;0;951;953;954;446;446;446;36;233
01.03.14;11:35:00;1;2972;4965;3;0;1005;1002;1004;450;449;449;36;233
01.03.14;11:30:00;1;2673;4717;3;0;902;900;902;448;447;447;35;233
01.03.14;11:25:00;1;2347;4495;3;0;790;789;791;444;444;444;35;233
01.03.14;11:20:00;1;2370;4300;3;0;798;797;799;446;446;447;35;233
01.03.14;11:15:00;1;2354;4103;3;0;793;791;792;447;447;447;34;233
01.03.14;11:10:00;1;2238;3906;3;0;752;751;755;447;446;447;34;232
01.03.14;11:05:00;1;2134;3720;3;0;715;717;719;446;446;446;34;233
01.03.14;11:00:00;1;2155;3542;3;0;727;723;724;447;447;447;33;233
01.03.14;10:55:00;1;2048;3362;3;0;688;686;689;447;447;448;33;234
01.03.14;10:50:00;1;2037;3191;3;0;682;684;685;448;448;449;33;234
01.03.14;10:45:00;1;1887;3021;3;0;641;621;636;448;448;449;33;234
01.03.14;10:40:00;1;1660;2864;3;0;559;542;565;449;448;448;33;234
01.03.14;10:35:00;1;1512;2726;3;0;506;506;503;448;448;448;33;234
01.03.14;10:30:00;1;1469;2600;3;0;481;506;486;448;447;448;33;234
