#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
27.02.14;17:50:00;1;0;21463;3;0;0;0;0;251;250;250;26;233
27.02.14;17:45:00;1;8;21463;3;0;0;5;1;251;250;250;26;234
27.02.14;17:40:00;1;16;21462;3;0;0;7;3;251;251;251;27;233
27.02.14;17:35:00;1;22;21461;3;0;3;8;5;251;250;250;28;234
27.02.14;17:30:00;1;31;21459;3;0;6;11;7;258;257;258;28;233
27.02.14;17:25:00;1;54;21456;3;0;14;17;14;296;295;296;29;233
27.02.14;17:20:00;1;114;21451;3;0;32;35;34;352;351;352;29;232
27.02.14;17:15:00;1;175;21442;3;0;45;59;56;379;379;379;29;233
27.02.14;17:10:00;1;228;21427;3;0;75;68;69;393;392;392;29;233
27.02.14;17:05:00;1;243;21407;3;0;85;69;72;395;395;395;29;234
27.02.14;17:00:00;1;221;21387;3;0;73;66;65;391;390;390;29;234
27.02.14;16:55:00;1;214;21368;3;0;69;66;63;390;389;390;29;234
27.02.14;16:50:00;1;179;21350;3;0;47;60;56;382;381;381;30;234
27.02.14;16:45:00;1;151;21335;3;0;38;52;46;370;370;370;30;234
27.02.14;16:40:00;1;172;21323;3;0;43;60;54;379;378;378;30;234
27.02.14;16:35:00;1;199;21308;3;0;55;66;62;386;385;385;30;234
27.02.14;16:30:00;1;225;21291;3;0;69;71;67;391;390;371;31;234
27.02.14;16:25:00;1;274;21272;3;0;92;81;85;400;399;400;31;234
27.02.14;16:20:00;1;304;21249;3;0;95;93;101;403;402;403;31;234
27.02.14;16:15:00;1;318;21224;3;0;96;101;106;404;404;404;32;235
27.02.14;16:10:00;1;388;21197;3;0;117;129;122;409;409;409;32;235
27.02.14;16:05:00;1;502;21164;3;0;166;154;169;417;416;417;33;235
27.02.14;16:00:00;1;653;21122;3;0;212;219;212;423;422;423;34;235
27.02.14;15:55:00;1;855;21067;3;0;281;283;282;428;427;428;34;235
27.02.14;15:50:00;1;1147;20996;3;0;379;384;379;433;432;433;34;235
27.02.14;15:45:00;1;1451;20899;3;0;481;481;489;437;437;437;35;235
27.02.14;15:40:00;1;1456;20778;3;0;488;489;480;437;436;437;35;235
27.02.14;15:35:00;1;972;20657;3;0;314;331;318;427;426;427;35;234
27.02.14;15:30:00;1;1820;20575;3;0;607;612;607;437;437;437;36;235
27.02.14;15:25:00;1;1869;20423;3;0;625;625;626;438;437;438;36;235
27.02.14;15:20:00;1;1812;20267;3;0;606;603;608;436;435;436;37;235
27.02.14;15:15:00;1;2436;20116;3;0;818;817;819;437;437;437;38;235
27.02.14;15:10:00;1;2894;19911;3;0;974;974;976;439;439;439;38;235
27.02.14;15:05:00;1;3242;19670;3;0;1094;1093;1095;441;440;440;38;235
27.02.14;15:00:00;1;3980;19399;3;0;1348;1347;1350;446;445;446;38;235
27.02.14;14:55:00;1;3469;19066;3;0;1173;1171;1173;446;445;445;37;235
27.02.14;14:50:00;1;2873;18778;3;0;969;966;968;443;443;443;37;235
27.02.14;14:45:00;1;2590;18539;3;0;874;869;871;442;441;442;37;235
27.02.14;14:40:00;1;2524;18323;3;0;850;847;850;441;440;440;37;235
27.02.14;14:35:00;1;2586;18113;3;0;872;869;869;439;438;439;38;236
27.02.14;14:30:00;1;3034;17897;3;0;1022;1022;1024;439;438;439;39;237
27.02.14;14:25:00;1;4119;17643;3;0;1393;1392;1393;445;444;445;38;239
27.02.14;14:20:00;1;3359;17298;3;0;1136;1133;1137;444;443;443;38;239
27.02.14;14:15:00;1;3568;17020;3;0;1207;1206;1207;447;446;447;37;238
27.02.14;14:10:00;1;3123;16722;3;0;1053;1051;1055;444;444;444;37;239
27.02.14;14:05:00;1;3022;16462;3;0;1019;1018;1019;442;441;442;37;238
27.02.14;14:00:00;1;3129;16210;3;0;1057;1053;1057;442;441;442;36;238
27.02.14;13:55:00;1;3103;15949;3;0;1046;1045;1048;443;442;442;36;238
27.02.14;13:50:00;1;3004;15691;3;0;1013;1011;1014;442;442;442;35;238
27.02.14;13:45:00;1;2988;15441;3;0;1008;1005;1008;442;441;442;34;238
27.02.14;13:40:00;1;3082;15191;3;0;1041;1039;1040;442;441;442;34;238
27.02.14;13:35:00;1;3292;14933;3;0;1111;1111;1114;443;442;443;36;238
27.02.14;13:30:00;1;3607;14659;3;0;1221;1218;1222;445;445;445;38;238
27.02.14;13:25:00;1;4341;14356;3;0;1472;1468;1470;451;450;451;38;238
27.02.14;13:20:00;1;4269;13996;3;0;1446;1441;1444;451;450;451;37;238
27.02.14;13:15:00;1;3918;13638;3;0;1326;1325;1326;447;447;447;35;238
27.02.14;13:10:00;1;3480;13312;3;0;1177;1173;1176;442;441;442;34;238
27.02.14;13:05:00;1;3797;13022;3;0;1284;1282;1284;444;444;445;34;238
