#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
04.03.14;18:10:00;1;4;38772;3;0;0;4;0;251;250;250;29;235
04.03.14;18:05:00;1;19;38772;3;0;1;8;4;251;251;251;29;236
04.03.14;18:00:00;1;40;38770;3;0;8;15;9;274;274;274;30;235
04.03.14;17:55:00;1;97;38766;3;0;26;34;25;340;340;340;31;236
04.03.14;17:50:00;1;177;38758;3;0;44;62;55;378;377;378;31;235
04.03.14;17:45:00;1;226;38743;3;0;69;72;68;390;389;390;31;235
04.03.14;17:40:00;1;249;38724;3;0;81;77;75;391;390;391;32;233
04.03.14;17:35:00;1;325;38703;3;0;94;112;105;397;397;397;32;232
04.03.14;17:30:00;1;418;38675;3;0;137;134;132;400;400;400;32;232
04.03.14;17:25:00;1;551;38640;3;0;176;182;181;401;400;401;33;233
04.03.14;17:20:00;1;797;38593;3;0;265;259;267;400;399;400;33;233
04.03.14;17:15:00;1;3048;38526;3;0;1032;1034;1033;363;362;362;35;234
04.03.14;17:10:00;1;4551;38267;3;0;1550;1547;1549;383;383;383;37;235
04.03.14;17:05:00;1;5486;37888;3;0;1870;1866;1868;390;389;389;38;235
04.03.14;17:00:00;1;5974;37430;3;0;2033;2028;2031;422;422;423;38;235
04.03.14;16:55:00;1;5689;36931;3;0;1934;1930;1933;431;431;431;38;235
04.03.14;16:50:00;1;5633;36457;3;0;1914;1911;1914;437;436;437;38;235
04.03.14;16:45:00;1;4749;35989;3;0;1610;1609;1611;444;443;443;38;235
04.03.14;16:40:00;1;6021;35591;3;0;2045;2041;2045;453;452;453;36;235
04.03.14;16:35:00;1;1424;35091;3;0;504;442;489;433;432;433;34;234
04.03.14;16:30:00;1;1208;34978;3;0;390;424;392;430;429;430;34;233
04.03.14;16:25:00;1;1061;34877;3;0;347;350;359;424;423;424;33;233
04.03.14;16:20:00;1;1090;34788;3;0;353;369;361;419;418;419;33;233
04.03.14;16:15:00;1;1234;34697;3;0;416;408;408;414;413;414;34;233
04.03.14;16:10:00;1;4829;34594;3;0;1633;1639;1635;418;418;418;35;235
