#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
26.02.14;18:00:00;1;0;12220;3;0;0;1;0;251;250;250;26;235
26.02.14;17:55:00;1;10;12220;3;0;0;6;1;251;251;251;27;234
26.02.14;17:50:00;1;24;12219;3;0;4;9;5;253;253;253;28;235
26.02.14;17:45:00;1;58;12216;3;0;16;18;15;303;303;303;28;235
26.02.14;17:40:00;1;101;12211;3;0;31;31;28;345;344;345;28;234
26.02.14;17:35:00;1;140;12203;3;0;36;46;43;366;365;366;29;232
26.02.14;17:30:00;1;173;12191;3;0;43;60;55;378;378;378;29;231
26.02.14;17:25:00;1;188;12176;3;0;49;64;59;384;383;383;29;231
26.02.14;17:20:00;1;192;12160;3;0;51;65;61;384;384;384;29;230
26.02.14;17:15:00;1;218;12144;3;0;64;71;67;390;390;390;30;232
26.02.14;17:10:00;1;243;12126;3;0;79;76;74;394;394;394;30;233
26.02.14;17:05:00;1;258;12105;3;0;86;78;79;396;395;396;30;234
26.02.14;17:00:00;1;308;12083;3;0;94;99;101;402;401;402;31;233
26.02.14;16:55:00;1;454;12057;3;0;148;142;149;414;413;414;31;233
26.02.14;16:50:00;1;590;12019;3;0;181;205;195;421;420;420;31;234
26.02.14;16:45:00;1;685;11970;3;0;234;223;221;424;424;424;31;234
26.02.14;16:40:00;1;739;11912;3;0;253;225;255;426;425;426;31;233
26.02.14;16:35:00;1;638;11851;3;0;206;218;205;422;421;422;31;234
26.02.14;16:30:00;1;642;11797;3;0;207;220;206;422;421;422;31;234
26.02.14;16:25:00;1;632;11744;3;0;203;219;202;422;422;422;31;233
26.02.14;16:20:00;1;533;11691;3;0;169;171;179;418;417;417;30;236
26.02.14;16:15:00;1;469;11647;3;0;159;143;154;414;414;414;31;237
26.02.14;16:10:00;1;434;11608;3;0;146;138;137;412;411;412;31;237
26.02.14;16:05:00;1;329;11571;3;0;97;111;106;403;402;403;31;237
26.02.14;16:00:00;1;298;11544;3;0;92;98;95;399;399;399;32;237
26.02.14;15:55:00;1;492;11519;3;0;153;164;161;414;413;414;32;237
26.02.14;15:50:00;1;704;11477;3;0;234;229;234;422;422;423;33;237
26.02.14;15:45:00;1;668;11418;3;0;218;225;216;421;420;421;33;237
26.02.14;15:40:00;1;708;11363;3;0;243;229;229;422;421;422;33;237
26.02.14;15:35:00;1;813;11303;3;0;267;266;273;424;424;424;34;236
26.02.14;15:30:00;1;1075;11235;3;0;364;349;360;430;429;430;34;237
26.02.14;15:25:00;1;1066;11145;3;0;361;341;363;429;429;429;34;237
26.02.14;15:20:00;1;920;11056;3;0;304;310;299;426;425;426;34;237
26.02.14;15:15:00;1;1134;10979;3;0;374;378;377;429;428;429;34;237
26.02.14;15:10:00;1;1364;10884;3;0;458;453;453;431;431;431;35;237
26.02.14;15:05:00;1;1104;10771;3;0;361;372;367;425;425;426;35;237
26.02.14;15:00:00;1;1321;10679;3;0;433;449;438;426;425;426;36;237
26.02.14;14:55:00;1;2849;10567;3;0;960;958;961;436;436;436;37;237
26.02.14;14:50:00;1;4061;10324;3;0;1374;1373;1381;444;444;444;36;237
26.02.14;14:45:00;1;2794;9987;3;0;942;940;942;439;439;439;35;237
26.02.14;14:40:00;1;2639;9753;3;0;891;888;890;437;436;437;35;237
26.02.14;14:35:00;1;2557;9535;3;0;862;861;861;438;437;438;35;236
26.02.14;14:30:00;1;2995;9320;3;0;1012;1010;1012;443;442;442;34;236
26.02.14;14:25:00;1;2352;9072;3;0;794;790;792;440;439;440;33;236
26.02.14;14:20:00;1;2043;8876;3;0;695;680;684;439;438;439;33;236
26.02.14;14:15:00;1;1698;8707;3;0;574;561;571;436;436;436;33;237
26.02.14;14:10:00;1;1709;8565;3;0;574;558;583;437;436;437;33;237
26.02.14;14:05:00;1;1525;8423;3;0;512;514;504;436;435;436;33;237
26.02.14;14:00:00;1;1461;8296;3;0;483;491;490;435;434;435;33;237
26.02.14;13:55:00;1;1626;8174;3;0;542;557;532;437;437;437;33;237
26.02.14;13:50:00;1;1805;8038;3;0;610;589;614;439;438;439;33;236
26.02.14;13:45:00;1;1638;7887;3;0;548;545;552;437;437;437;33;236
26.02.14;13:40:00;1;1223;7751;3;0;405;414;406;432;432;432;33;236
26.02.14;13:35:00;1;1049;7649;3;0;351;350;344;429;429;429;33;236
26.02.14;13:30:00;1;1452;7562;3;0;482;493;478;434;434;434;33;237
26.02.14;13:25:00;1;1828;7440;3;0;618;597;622;439;438;439;34;237
26.02.14;13:20:00;1;1584;7287;3;0;528;531;532;435;434;435;34;237
26.02.14;13:15:00;1;1313;7156;3;0;441;441;434;430;429;430;34;236
26.02.14;13:10:00;1;1766;7046;3;0;586;597;590;432;431;432;34;236
26.02.14;13:05:00;1;2489;6898;3;0;839;838;839;438;437;438;34;237
26.02.14;13:00:00;1;2159;6690;3;0;726;725;726;436;436;436;33;237
26.02.14;12:55:00;1;2339;6510;3;0;787;785;788;439;438;438;33;237
26.02.14;12:50:00;1;2034;6315;3;0;699;661;690;440;439;440;33;237
26.02.14;12:45:00;1;1434;6147;3;0;494;479;466;435;434;435;33;236
26.02.14;12:40:00;1;1152;6028;3;0;383;378;391;431;430;431;33;236
26.02.14;12:35:00;1;1174;5932;3;0;390;387;397;431;431;431;33;236
26.02.14;12:30:00;1;1176;5834;3;0;386;396;396;430;429;430;33;236
26.02.14;12:25:00;1;1194;5736;3;0;393;401;397;429;428;429;33;237
26.02.14;12:20:00;1;1521;5636;3;0;505;512;509;432;431;432;33;237
26.02.14;12:15:00;1;1615;5508;3;0;531;558;530;431;431;431;33;236
26.02.14;12:10:00;1;2189;5373;3;0;736;735;738;437;436;437;33;236
26.02.14;12:05:00;1;2122;5190;3;0;712;715;712;437;437;437;33;237
26.02.14;12:00:00;1;2065;5013;3;0;692;690;695;437;436;437;33;237
26.02.14;11:55:00;1;2439;4840;3;0;820;820;821;440;439;440;33;237
26.02.14;11:50:00;1;2883;4636;3;0;974;972;975;444;443;444;32;236
26.02.14;11:45:00;1;2054;4395;3;0;692;689;691;439;438;439;32;236
26.02.14;11:40:00;1;2003;4224;3;0;674;672;673;437;437;437;32;235
26.02.14;11:35:00;1;2225;4056;3;0;749;747;749;439;439;439;31;235
26.02.14;11:30:00;1;2195;3871;3;0;738;739;740;440;439;440;31;235
26.02.14;11:25:00;1;2131;3688;3;0;717;716;718;440;439;440;31;235
26.02.14;11:20:00;1;1667;3510;3;0;565;550;561;439;438;438;30;235
26.02.14;11:15:00;1;1258;3372;3;0;420;417;421;434;433;434;30;235
26.02.14;11:10:00;1;1264;3267;3;0;429;415;419;434;434;434;30;234
