#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
28.02.14;17:50:00;1;0;18724;3;0;0;0;0;251;250;250;29;235
28.02.14;17:45:00;1;21;18724;3;0;2;9;4;256;256;256;30;235
28.02.14;17:40:00;1;79;18722;3;0;20;29;20;321;320;321;31;235
28.02.14;17:35:00;1;228;18715;3;0;69;72;70;389;389;389;32;236
28.02.14;17:30:00;1;343;18696;3;0;101;113;111;406;406;406;33;236
28.02.14;17:25:00;1;509;18667;3;0;167;157;169;417;417;418;34;236
28.02.14;17:20:00;1;700;18624;3;0;229;228;233;425;424;425;34;236
28.02.14;17:15:00;1;908;18565;3;0;290;316;296;431;430;431;34;235
28.02.14;17:10:00;1;940;18489;3;0;312;306;316;435;434;435;34;234
28.02.14;17:05:00;1;670;18411;3;0;223;222;218;422;421;422;34;234
28.02.14;17:00:00;1;781;18355;3;0;262;254;258;423;422;423;35;235
28.02.14;16:55:00;1;1174;18289;3;0;385;393;389;428;428;428;35;236
28.02.14;16:50:00;1;1856;18190;3;0;617;626;616;434;433;434;36;235
28.02.14;16:45:00;1;3134;18032;3;0;1054;1052;1060;438;437;438;35;235
28.02.14;16:40:00;1;2911;17765;3;0;971;977;974;443;442;443;34;234
28.02.14;16:35:00;1;1788;17527;3;0;599;597;601;441;441;441;34;235
28.02.14;16:30:00;1;1953;17378;3;0;656;654;655;442;441;442;34;235
28.02.14;16:25:00;1;1985;17216;3;0;666;665;666;442;441;442;34;235
28.02.14;16:20:00;1;2161;17050;3;0;726;725;726;441;441;441;34;235
28.02.14;16:15:00;1;2491;16869;3;0;837;837;837;445;444;445;33;234
28.02.14;16:10:00;1;2925;16660;3;0;985;985;987;450;450;450;32;234
28.02.14;16:05:00;1;2608;16417;3;0;893;864;879;453;452;452;31;235
28.02.14;16:00:00;1;796;16201;3;0;265;265;262;429;428;429;30;235
28.02.14;15:55:00;1;292;16137;3;0;92;88;96;403;402;403;30;234
28.02.14;15:50:00;1;269;16113;3;0;88;79;86;399;399;399;31;234
28.02.14;15:45:00;1;298;16090;3;0;92;89;97;402;401;402;31;234
28.02.14;15:40:00;1;416;16065;3;0;133;135;131;414;413;413;31;235
28.02.14;15:35:00;1;500;16030;3;0;159;164;161;417;417;417;32;235
28.02.14;15:30:00;1;500;15988;3;0;159;165;162;418;417;418;32;235
28.02.14;15:25:00;1;437;15947;3;0;135;141;143;414;413;413;32;235
28.02.14;15:20:00;1;660;15910;3;0;213;222;213;425;424;425;33;235
