#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
23.02.14;17:55:00;1;0;13903;3;0;0;0;0;251;250;250;26;233
23.02.14;17:50:00;1;7;13903;3;0;0;5;0;251;250;250;26;233
23.02.14;17:45:00;1;19;13902;3;0;2;8;4;251;250;250;28;232
23.02.14;17:40:00;1;35;13901;3;0;9;11;8;262;261;261;28;233
23.02.14;17:35:00;1;46;13898;3;0;12;14;11;283;283;283;28;234
23.02.14;17:30:00;1;67;13893;3;0;21;20;17;315;314;315;29;234
23.02.14;17:25:00;1;77;13888;3;0;25;22;20;325;325;326;29;234
23.02.14;17:20:00;1;116;13881;3;0;34;35;34;353;352;352;29;235
23.02.14;17:15:00;1;181;13871;3;0;49;60;57;379;379;379;29;235
23.02.14;17:10:00;1;161;13856;3;0;41;55;50;373;372;373;29;235
23.02.14;17:05:00;1;142;13842;3;0;37;49;42;365;364;365;29;235
23.02.14;17:00:00;1;231;13830;3;0;76;70;69;390;390;390;30;237
23.02.14;16:55:00;1;225;13811;3;0;74;69;66;389;389;389;30;236
23.02.14;16:50:00;1;282;13792;3;0;95;80;92;399;398;398;30;236
23.02.14;16:45:00;1;340;13768;3;0;99;112;111;405;405;405;30;234
23.02.14;16:40:00;1;344;13740;3;0;98;117;112;405;405;405;31;234
23.02.14;16:35:00;1;347;13711;3;0;99;119;113;405;405;405;31;235
23.02.14;16:30:00;1;435;13682;3;0;140;138;139;412;412;412;32;234
23.02.14;16:25:00;1;651;13645;3;0;211;214;215;422;422;422;32;235
23.02.14;16:20:00;1;978;13590;3;0;331;324;319;431;431;432;32;234
23.02.14;16:15:00;1;823;13508;3;0;272;266;278;428;428;428;32;234
23.02.14;16:10:00;1;700;13440;3;0;241;222;228;425;424;424;32;235
23.02.14;16:05:00;1;587;13381;3;0;182;199;192;420;420;420;32;235
23.02.14;16:00:00;1;571;13333;3;0;174;196;189;419;419;419;32;237
23.02.14;15:55:00;1;644;13285;3;0;206;222;207;422;422;422;32;236
23.02.14;15:50:00;1;642;13231;3;0;201;224;207;422;421;422;33;236
23.02.14;15:45:00;1;699;13177;3;0;235;230;225;423;423;423;33;236
23.02.14;15:40:00;1;760;13119;3;0;257;232;263;425;424;425;33;236
23.02.14;15:35:00;1;704;13055;3;0;240;227;229;423;422;423;33;236
23.02.14;15:30:00;1;702;12996;3;0;249;227;216;423;423;423;33;237
23.02.14;15:25:00;1;772;12938;3;0;267;237;259;425;425;425;33;236
23.02.14;15:20:00;1;850;12873;3;0;272;286;284;427;426;427;34;237
23.02.14;15:15:00;1;841;12802;3;0;271;280;283;426;425;426;34;237
23.02.14;15:10:00;1;822;12732;3;0;269;264;282;425;425;425;34;236
23.02.14;15:05:00;1;865;12663;3;0;278;290;290;426;425;426;34;236
23.02.14;15:00:00;1;1109;12590;3;0;373;360;373;430;430;430;34;237
23.02.14;14:55:00;1;1235;12497;3;0;418;416;396;432;431;431;34;236
23.02.14;14:50:00;1;1170;12393;3;0;388;392;394;431;430;431;34;235
23.02.14;14:45:00;1;1162;12296;3;0;383;381;396;431;430;431;34;235
23.02.14;14:40:00;1;1227;12199;3;0;406;418;400;431;430;430;34;235
23.02.14;14:35:00;1;1495;12096;3;0;496;496;503;434;433;434;35;236
23.02.14;14:30:00;1;1576;11971;3;0;516;545;517;433;432;433;35;236
23.02.14;14:25:00;1;1815;11840;3;0;608;607;606;432;431;432;36;235
23.02.14;14:20:00;1;2153;11687;3;0;724;722;723;433;432;433;36;236
23.02.14;14:15:00;1;2056;11508;3;0;690;689;692;430;429;430;37;236
23.02.14;14:10:00;1;4472;11336;3;0;1513;1512;1513;436;435;436;37;237
23.02.14;14:05:00;1;2813;10955;3;0;958;955;957;437;437;437;37;236
23.02.14;14:00:00;1;2746;10733;3;0;924;924;926;432;432;432;37;235
23.02.14;13:55:00;1;5108;10501;3;0;1732;1724;1726;443;442;442;35;235
23.02.14;13:50:00;1;3083;10074;3;0;1043;1039;1041;447;446;446;33;235
23.02.14;13:45:00;1;1992;9817;3;0;678;680;646;442;442;442;33;235
23.02.14;13:40:00;1;1209;9652;3;0;394;420;390;434;433;434;33;236
23.02.14;13:35:00;1;996;9552;3;0;334;318;336;431;430;431;33;235
23.02.14;13:30:00;1;989;9470;3;0;333;312;336;431;430;431;33;235
23.02.14;13:25:00;1;1062;9387;3;0;352;341;362;431;431;431;33;234
23.02.14;13:20:00;1;1229;9298;3;0;408;411;405;433;433;433;33;234
23.02.14;13:15:00;1;1321;9195;3;0;442;434;441;434;434;434;34;233
23.02.14;13:10:00;1;1366;9085;3;0;456;444;464;434;433;434;34;233
23.02.14;13:05:00;1;1290;8971;3;0;433;417;436;432;431;432;34;233
23.02.14;13:00:00;1;1491;8863;3;0;497;495;498;435;434;435;34;233
23.02.14;12:55:00;1;1517;8739;3;0;494;526;497;434;434;434;34;233
23.02.14;12:50:00;1;1589;8612;3;0;531;535;525;433;433;433;35;233
23.02.14;12:45:00;1;1946;8479;3;0;651;647;655;435;434;434;35;233
23.02.14;12:40:00;1;2180;8316;3;0;732;729;731;435;435;435;35;233
23.02.14;12:35:00;1;2855;8134;3;0;948;947;963;440;439;440;35;234
23.02.14;12:30:00;1;2447;7905;3;0;824;821;824;438;437;438;35;233
23.02.14;12:25:00;1;2407;7702;3;0;809;808;810;435;434;435;34;234
23.02.14;12:20:00;1;2902;7501;3;0;978;975;978;439;438;439;34;233
23.02.14;12:15:00;1;2897;7259;3;0;980;979;979;436;436;436;34;233
23.02.14;12:10:00;1;3505;7016;3;0;1182;1181;1183;437;437;437;36;233
23.02.14;12:05:00;1;4016;6732;3;0;1341;1339;1340;437;436;437;38;234
23.02.14;12:00:00;1;4988;6395;3;0;1705;1699;1701;440;439;441;38;233
23.02.14;11:55:00;1;4021;5967;3;0;1359;1356;1372;442;441;441;36;233
23.02.14;11:50:00;1;3240;5644;3;0;1092;1089;1091;445;444;444;35;232
23.02.14;11:45:00;1;1937;5376;3;0;650;648;651;438;438;438;35;232
23.02.14;11:40:00;1;2189;5214;3;0;736;735;736;439;438;439;35;232
23.02.14;11:35:00;1;2284;5030;3;0;768;767;769;440;440;440;35;233
23.02.14;11:30:00;1;2481;4840;3;0;837;834;831;442;442;442;35;232
23.02.14;11:25:00;1;2270;4632;3;0;764;763;765;443;442;443;35;232
23.02.14;11:20:00;1;2194;4444;3;0;737;736;738;442;442;442;35;231
23.02.14;11:15:00;1;2461;4261;3;0;827;827;829;443;442;443;35;231
23.02.14;11:10:00;1;2619;4054;3;0;882;882;884;447;446;447;34;232
23.02.14;11:05:00;1;2012;3836;3;0;676;675;675;443;442;443;34;232
23.02.14;11:00:00;1;2277;3668;3;0;765;764;764;445;445;445;34;232
23.02.14;10:55:00;1;1908;3479;3;0;640;640;638;442;441;442;34;232
23.02.14;10:50:00;1;1963;3320;3;0;658;651;658;442;442;442;34;232
23.02.14;10:45:00;1;1983;3158;3;0;665;665;666;442;442;442;34;231
23.02.14;10:40:00;1;1988;2993;3;0;667;667;668;441;441;441;35;231
23.02.14;10:35:00;1;2624;2827;3;0;882;881;877;445;444;445;35;233
23.02.14;10:30:00;1;3396;2602;3;0;1145;1142;1145;455;454;455;34;234
23.02.14;10:25:00;1;3014;2318;3;0;1018;1016;1020;457;457;457;33;234
23.02.14;10:20:00;1;2562;2065;3;0;867;864;874;453;452;453;32;235
23.02.14;10:15:00;1;2021;1853;3;0;690;658;685;452;451;452;31;235
23.02.14;10:10:00;1;1487;1683;3;0;500;497;492;461;461;461;31;234
23.02.14;10:05:00;1;1312;1560;3;0;428;444;439;460;459;460;31;234
23.02.14;10:00:00;1;1250;1452;3;0;418;430;404;453;453;453;31;235
23.02.14;09:55:00;1;988;1347;3;0;335;336;312;454;453;454;31;235
