#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
02.03.14;18:10:00;1;0;26683;3;0;0;0;0;251;250;250;29;233
02.03.14;18:05:00;1;11;26683;3;0;0;6;1;251;250;250;29;234
02.03.14;18:00:00;1;35;26682;3;0;6;12;8;266;265;266;30;235
02.03.14;17:55:00;1;66;26679;3;0;17;22;17;315;315;315;31;234
02.03.14;17:50:00;1;98;26673;3;0;28;31;26;346;346;346;31;235
02.03.14;17:45:00;1;131;26665;3;0;34;44;38;362;362;362;31;236
02.03.14;17:40:00;1;181;26654;3;0;45;62;56;378;377;378;32;234
02.03.14;17:35:00;1;276;26638;3;0;83;87;87;395;394;395;33;230
02.03.14;17:30:00;1;687;26615;3;0;222;226;226;413;412;413;33;230
02.03.14;17:25:00;1;974;26556;3;0;325;325;320;411;410;411;33;231
02.03.14;17:20:00;1;1282;26475;3;0;420;437;423;414;413;414;33;231
02.03.14;17:15:00;1;1474;26368;3;0;492;491;494;412;411;412;35;231
02.03.14;17:10:00;1;3388;26243;3;0;1154;1150;1152;359;358;359;38;232
02.03.14;17:05:00;1;4396;25959;3;0;1494;1492;1494;397;397;397;38;232
02.03.14;17:00:00;1;2757;25591;3;0;930;936;927;422;421;421;38;232
02.03.14;16:55:00;1;5138;25365;3;0;1741;1737;1739;443;443;443;37;234
02.03.14;16:50:00;1;3409;24932;3;0;1166;1132;1155;444;444;445;34;234
02.03.14;16:45:00;1;1206;24656;3;0;393;409;396;434;433;434;34;235
02.03.14;16:40:00;1;1319;24555;3;0;441;432;441;434;434;434;34;234
02.03.14;16:35:00;1;1358;24445;3;0;459;436;458;434;434;435;34;234
02.03.14;16:30:00;1;1531;24332;3;0;500;528;502;435;434;435;34;234
02.03.14;16:25:00;1;1577;24204;3;0;535;508;536;434;433;433;34;234
02.03.14;16:20:00;1;1573;24073;3;0;518;544;511;431;431;431;34;234
02.03.14;16:15:00;1;1714;23942;3;0;571;568;580;429;428;428;34;235
02.03.14;16:10:00;1;2782;23799;3;0;937;939;936;426;425;426;35;235
02.03.14;16:05:00;1;2721;23567;3;0;920;919;921;422;422;422;38;235
02.03.14;16:00:00;1;7545;23339;3;0;2565;2562;2566;419;418;419;40;236
02.03.14;15:55:00;1;7043;22701;3;0;2404;2403;2403;422;421;422;37;236
02.03.14;15:50:00;1;2897;22122;3;0;978;977;981;413;412;412;39;235
02.03.14;15:45:00;1;8688;21870;3;0;2968;2964;2969;403;403;403;42;236
02.03.14;15:40:00;1;8940;21147;3;0;3051;3050;3048;407;407;407;42;235
02.03.14;15:35:00;1;9009;20401;3;0;3070;3066;3072;401;401;401;42;236
02.03.14;15:30:00;1;9033;19649;3;0;3085;3080;3084;417;417;417;41;236
02.03.14;15:25:00;1;7212;18896;3;0;2454;2451;2459;431;431;431;37;236
