#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
06.03.14;18:20:00;1;2;40023;3;0;0;3;0;251;250;250;30;234
06.03.14;18:15:00;1;27;40023;3;0;4;11;6;259;259;259;31;233
06.03.14;18:10:00;1;83;40021;3;0;23;28;21;330;329;329;31;234
06.03.14;18:05:00;1;170;40013;3;0;44;59;51;376;375;376;32;235
06.03.14;18:00:00;1;266;39999;3;0;86;80;84;397;396;397;32;235
06.03.14;17:55:00;1;367;39976;3;0;108;125;118;407;406;406;33;235
06.03.14;17:50:00;1;472;39945;3;0;160;141;155;411;410;411;33;235
06.03.14;17:45:00;1;579;39906;3;0;177;198;190;413;413;413;34;235
06.03.14;17:40:00;1;935;39857;3;0;311;310;310;412;411;411;35;235
06.03.14;17:35:00;1;1499;39778;3;0;494;516;493;407;406;406;35;236
06.03.14;17:30:00;1;1770;39652;3;0;594;590;598;399;398;398;35;233
06.03.14;17:25:00;1;1916;39504;3;0;644;643;644;410;410;410;35;233
06.03.14;17:20:00;1;2220;39344;3;0;745;745;747;424;424;424;35;233
06.03.14;17:15:00;1;2506;39158;3;0;844;842;844;428;427;428;35;234
06.03.14;17:10:00;1;2875;38950;3;0;971;971;972;398;397;398;34;234
06.03.14;17:05:00;1;3457;38709;3;0;1170;1167;1170;418;417;418;34;234
06.03.14;17:00:00;1;3833;38420;3;0;1299;1295;1297;426;425;426;35;234
06.03.14;16:55:00;1;4116;38100;3;0;1396;1392;1394;428;427;428;35;235
06.03.14;16:50:00;1;4236;37756;3;0;1434;1433;1437;427;426;427;36;235
06.03.14;16:45:00;1;4554;37402;3;0;1544;1540;1543;429;429;429;37;235
06.03.14;16:40:00;1;4766;37022;3;0;1616;1614;1616;428;427;428;37;233
06.03.14;16:35:00;1;4924;36624;3;0;1671;1670;1672;416;416;416;38;234
06.03.14;16:30:00;1;5234;36214;3;0;1778;1774;1778;413;412;413;39;234
06.03.14;16:25:00;1;5651;35778;3;0;1922;1918;1920;411;411;411;39;234
06.03.14;16:20:00;1;5853;35307;3;0;1990;1988;1991;410;409;410;40;235
06.03.14;16:15:00;1;6092;34818;3;0;2072;2069;2072;414;414;414;40;236
06.03.14;16:10:00;1;6529;34310;3;0;2222;2217;2221;418;418;418;40;236
06.03.14;16:05:00;1;6537;33765;3;0;2225;2220;2224;415;414;415;40;236
06.03.14;16:00:00;1;6770;33220;3;0;2305;2302;2305;415;414;415;40;239
06.03.14;15:55:00;1;7037;32655;3;0;2396;2393;2395;417;416;417;40;239
06.03.14;15:50:00;1;6598;32071;3;0;2247;2243;2246;415;414;415;40;239
06.03.14;15:45:00;1;6639;31517;3;0;2259;2257;2259;412;411;412;40;238
06.03.14;15:40:00;1;6904;30965;3;0;2352;2349;2352;404;403;404;40;238
06.03.14;15:35:00;1;7257;30390;3;0;2474;2469;2473;405;404;404;41;238
06.03.14;15:30:00;1;7622;29783;3;0;2599;2596;2599;401;401;401;41;239
06.03.14;15:25:00;1;7683;29148;3;0;2621;2615;2620;405;404;405;41;239
06.03.14;15:20:00;1;7835;28507;3;0;2671;2669;2672;405;405;405;41;239
06.03.14;15:15:00;1;8038;27854;3;0;2743;2737;2742;406;406;406;42;239
06.03.14;15:10:00;1;7986;27186;3;0;2725;2720;2725;405;404;405;41;239
06.03.14;15:05:00;1;8033;26521;3;0;2742;2737;2739;402;401;402;41;239
06.03.14;15:00:00;1;7928;25851;3;0;2708;2701;2706;398;398;398;41;239
06.03.14;14:55:00;1;8208;25190;3;0;2802;2797;2801;400;400;400;41;239
06.03.14;14:50:00;1;8337;24505;3;0;2847;2841;2846;402;401;402;42;240
06.03.14;14:45:00;1;8219;23810;3;0;2804;2798;2804;411;410;411;42;239
06.03.14;14:40:00;1;8240;23123;3;0;2810;2807;2810;411;411;411;41;239
06.03.14;14:35:00;1;8412;22438;3;0;2869;2865;2870;413;412;413;42;239
06.03.14;14:30:00;1;8328;21737;3;0;2841;2836;2840;415;414;415;42;238
06.03.14;14:25:00;1;8160;21043;3;0;2784;2779;2781;417;416;416;41;238
06.03.14;14:20:00;1;8119;20363;3;0;2768;2764;2768;417;416;417;41;238
06.03.14;14:15:00;1;8053;19686;3;0;2751;2746;2749;392;392;392;41;238
06.03.14;14:10:00;1;7684;19015;3;0;2618;2616;2618;417;417;418;40;237
06.03.14;14:05:00;1;7564;18375;3;0;2581;2575;2578;410;409;410;40;237
06.03.14;14:00:00;1;7448;17747;3;0;2542;2538;2541;395;394;395;40;239
06.03.14;13:55:00;1;7205;17126;3;0;2456;2452;2456;412;412;412;40;239
06.03.14;13:50:00;1;7017;16526;3;0;2390;2386;2390;418;417;418;40;238
06.03.14;13:45:00;1;7138;15941;3;0;2431;2427;2432;421;420;421;40;237
06.03.14;13:40:00;1;6996;15346;3;0;2383;2379;2381;422;422;422;40;237
06.03.14;13:35:00;1;7002;14761;3;0;2384;2381;2384;422;422;422;40;238
06.03.14;13:30:00;1;6938;14177;3;0;2363;2358;2361;425;424;424;40;238
06.03.14;13:25:00;1;6896;13599;3;0;2349;2344;2347;425;425;425;40;237
06.03.14;13:20:00;1;6799;13026;3;0;2317;2312;2315;418;418;418;40;237
06.03.14;13:15:00;1;6792;12459;3;0;2312;2308;2311;429;428;428;40;237
06.03.14;13:10:00;1;6963;11893;3;0;2372;2366;2371;422;421;421;40;237
06.03.14;13:05:00;1;7320;11312;3;0;2494;2490;2493;424;423;424;40;238
06.03.14;13:00:00;1;7426;10701;3;0;2530;2525;2528;427;426;426;40;238
06.03.14;12:55:00;1;7531;10082;3;0;2566;2563;2564;425;425;425;40;237
06.03.14;12:50:00;1;7525;9455;3;0;2563;2560;2564;428;427;428;40;237
06.03.14;12:45:00;1;7416;8830;3;0;2525;2521;2526;431;431;432;40;237
06.03.14;12:40:00;1;7246;8212;3;0;2466;2463;2468;435;435;435;40;236
06.03.14;12:35:00;1;7143;7608;3;0;2432;2428;2432;436;436;436;40;237
06.03.14;12:30:00;1;6926;7011;3;0;2357;2354;2358;435;434;435;39;237
06.03.14;12:25:00;1;6649;6434;3;0;2263;2257;2261;441;440;441;39;238
06.03.14;12:20:00;1;5377;5880;3;0;1828;1824;1826;447;447;447;38;238
06.03.14;12:15:00;1;4453;5436;3;0;1510;1507;1509;448;447;448;37;238
