#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
25.02.14;17:55:00;1;1;15815;3;0;0;2;0;251;250;250;26;232
25.02.14;17:50:00;1;11;15815;3;0;0;6;2;251;250;250;27;232
25.02.14;17:45:00;1;3;15814;3;0;0;4;0;251;251;251;28;232
25.02.14;17:40:00;1;4;15814;3;0;0;3;0;251;250;251;28;232
25.02.14;17:35:00;1;58;15813;3;0;15;18;15;299;299;299;29;232
25.02.14;17:30:00;1;39;15808;3;0;9;14;10;273;272;273;29;232
25.02.14;17:25:00;1;39;15805;3;0;8;14;9;272;272;272;30;233
25.02.14;17:20:00;1;78;15801;3;0;21;26;20;322;322;322;30;233
25.02.14;17:15:00;1;100;15795;3;0;28;35;26;341;341;341;31;233
25.02.14;17:10:00;1;252;15786;3;0;74;83;79;386;385;386;32;232
25.02.14;17:05:00;1;604;15764;3;0;199;191;200;417;416;416;33;232
25.02.14;17:00:00;1;857;15713;3;0;284;290;278;425;424;424;33;233
25.02.14;16:55:00;1;608;15642;3;0;193;207;198;417;416;417;33;232
25.02.14;16:50:00;1;766;15591;3;0;257;240;262;421;420;421;33;233
25.02.14;16:45:00;1;937;15527;3;0;311;310;311;424;423;424;34;233
25.02.14;16:40:00;1;1059;15448;3;0;343;365;349;426;425;426;34;233
25.02.14;16:35:00;1;1117;15360;3;0;373;369;370;425;424;425;34;233
25.02.14;16:30:00;1;1173;15266;3;0;386;396;387;424;423;424;34;233
25.02.14;16:25:00;1;1693;15169;3;0;564;569;565;426;425;426;35;233
25.02.14;16:20:00;1;3986;15025;3;0;1353;1349;1352;410;410;410;34;232
25.02.14;16:15:00;1;2623;14693;3;0;885;884;885;438;437;437;34;232
25.02.14;16:10:00;1;3298;14474;3;0;1113;1114;1115;438;437;438;36;233
25.02.14;16:05:00;1;4611;14197;3;0;1562;1560;1562;439;439;439;38;233
25.02.14;16:00:00;1;4359;13810;3;0;1477;1474;1477;446;445;445;36;233
25.02.14;15:55:00;1;3033;13452;3;0;1022;1022;1021;441;440;441;36;234
25.02.14;15:50:00;1;2203;13199;3;0;741;741;740;438;438;438;36;233
25.02.14;15:45:00;1;1796;13016;3;0;602;600;602;431;430;431;37;238
25.02.14;15:40:00;1;2590;12865;3;0;871;871;874;434;433;434;38;238
25.02.14;15:35:00;1;4710;12649;3;0;1594;1594;1595;437;436;436;38;239
25.02.14;15:30:00;1;4912;12251;3;0;1668;1666;1669;448;448;448;35;238
25.02.14;15:25:00;1;2722;11847;3;0;924;909;923;447;447;447;34;238
25.02.14;15:20:00;1;1658;11621;3;0;572;529;564;439;438;439;34;236
25.02.14;15:15:00;1;1250;11484;3;0;420;415;416;435;434;435;34;237
25.02.14;15:10:00;1;968;11380;3;0;313;336;317;430;429;430;34;237
25.02.14;15:05:00;1;889;11299;3;0;289;302;293;429;428;429;34;238
25.02.14;15:00:00;1;721;11225;3;0;247;226;244;424;423;424;34;237
25.02.14;14:55:00;1;686;11165;3;0;228;224;224;421;420;421;34;237
25.02.14;14:50:00;1;924;11107;3;0;300;313;303;426;426;426;34;236
25.02.14;14:45:00;1;1372;11030;3;0;459;453;460;432;431;432;35;236
25.02.14;14:40:00;1;1518;10915;3;0;498;521;501;432;432;432;35;237
25.02.14;14:35:00;1;1849;10788;3;0;616;624;617;433;433;434;35;236
25.02.14;14:30:00;1;2587;10632;3;0;870;869;870;439;438;439;35;237
25.02.14;14:25:00;1;3764;10415;3;0;1272;1276;1277;444;443;443;34;238
25.02.14;14:20:00;1;2671;10098;3;0;905;905;907;447;446;446;32;237
25.02.14;14:15:00;1;1826;9880;3;0;623;594;618;442;441;442;32;236
25.02.14;14:10:00;1;1498;9728;3;0;504;506;493;440;439;440;32;237
25.02.14;14:05:00;1;1131;9604;3;0;376;371;384;436;435;436;31;237
25.02.14;14:00:00;1;947;9510;3;0;321;316;307;434;433;433;30;237
25.02.14;13:55:00;1;570;9432;3;0;190;185;189;422;421;422;30;237
25.02.14;13:50:00;1;357;9384;3;0;108;120;115;407;407;407;30;236
25.02.14;13:45:00;1;246;9355;3;0;81;76;75;393;392;393;30;236
25.02.14;13:40:00;1;278;9334;3;0;92;83;89;397;396;397;30;234
25.02.14;13:35:00;1;241;9310;3;0;81;73;72;391;390;391;31;234
25.02.14;13:30:00;1;277;9290;3;0;93;82;88;397;396;397;31;234
25.02.14;13:25:00;1;345;9267;3;0;112;109;109;403;402;403;31;234
25.02.14;13:20:00;1;570;9237;3;0;190;187;187;418;418;419;31;235
25.02.14;13:15:00;1;520;9189;3;0;170;170;172;416;416;416;31;234
25.02.14;13:10:00;1;332;9146;3;0;101;108;108;402;401;401;32;234
25.02.14;13:05:00;1;493;9118;3;0;158;160;163;414;413;414;32;234
25.02.14;13:00:00;1;554;9076;3;0;172;181;186;416;416;416;33;235
25.02.14;12:55:00;1;594;9030;3;0;178;211;193;417;417;417;33;235
25.02.14;12:50:00;1;733;8980;3;0;236;244;241;421;420;420;33;236
25.02.14;12:45:00;1;952;8919;3;0;323;311;312;423;423;423;33;236
25.02.14;12:40:00;1;1186;8840;3;0;393;396;392;425;424;425;33;236
25.02.14;12:35:00;1;1415;8740;3;0;467;474;474;424;423;424;33;235
25.02.14;12:30:00;1;1778;8622;3;0;597;594;596;423;423;423;34;235
25.02.14;12:25:00;1;3546;8473;3;0;1177;1176;1175;424;423;424;37;236
25.02.14;12:20:00;1;5654;8176;3;0;1921;1917;1921;425;425;425;38;236
25.02.14;12:15:00;1;5795;7703;3;0;1968;1964;1966;436;435;436;37;236
25.02.14;12:10:00;1;4477;7218;3;0;1511;1507;1514;441;440;441;35;235
25.02.14;12:05:00;1;3125;6848;3;0;1052;1048;1051;436;436;436;34;236
25.02.14;12:00:00;1;2619;6579;3;0;884;884;885;431;431;431;33;235
25.02.14;11:55:00;1;4044;6368;3;0;1365;1364;1366;430;430;430;34;236
25.02.14;11:50:00;1;4402;6024;3;0;1492;1491;1495;441;440;440;34;236
25.02.14;11:45:00;1;3396;5657;3;0;1151;1147;1151;436;435;436;34;236
25.02.14;11:40:00;1;3325;5376;3;0;1132;1128;1132;432;432;432;37;236
25.02.14;11:35:00;1;3768;5097;3;0;1277;1274;1277;435;435;435;38;237
25.02.14;11:30:00;1;3632;4783;3;0;1230;1228;1230;438;438;438;38;237
25.02.14;11:25:00;1;3722;4482;3;0;1260;1257;1260;432;432;432;37;237
25.02.14;11:20:00;1;4147;4171;3;0;1408;1405;1406;430;430;431;36;237
25.02.14;11:15:00;1;3633;3825;3;0;1233;1230;1230;434;434;434;36;237
25.02.14;11:10:00;1;3661;3523;3;0;1241;1240;1240;432;432;432;34;237
25.02.14;11:05:00;1;3209;3217;3;0;1085;1084;1085;438;438;438;33;237
25.02.14;11:00:00;1;2421;2951;3;0;838;794;823;434;433;434;32;236
25.02.14;10:55:00;1;1024;2752;3;0;344;321;353;436;436;436;32;236
25.02.14;10:50:00;1;1145;2667;3;0;379;385;379;437;437;437;33;236
25.02.14;10:45:00;1;1162;2571;3;0;371;408;379;439;438;439;33;236
25.02.14;10:40:00;1;1426;2474;3;0;471;478;473;442;441;442;33;236
25.02.14;10:35:00;1;1979;2354;3;0;669;663;663;449;448;448;32;236
25.02.14;10:30:00;1;1617;2190;3;0;542;549;532;446;445;446;32;236
25.02.14;10:25:00;1;1380;2055;3;0;459;452;470;444;443;443;32;236
25.02.14;10:20:00;1;1262;1941;3;0;415;429;418;444;443;443;32;236
25.02.14;10:15:00;1;1459;1835;3;0;487;488;483;447;446;447;32;237
25.02.14;10:10:00;1;2071;1713;3;0;695;694;694;461;461;461;32;237
25.02.14;10:05:00;1;1919;1540;3;0;654;627;650;462;462;462;32;237
25.02.14;10:00:00;1;1633;1381;3;0;556;528;555;461;460;461;32;237
25.02.14;09:55:00;1;1239;1245;3;0;425;408;410;456;455;456;31;237
25.02.14;09:50:00;1;1063;1141;3;0;368;344;350;453;453;454;31;237
25.02.14;09:45:00;1;954;1053;3;0;324;321;305;452;451;452;31;237
25.02.14;09:40:00;1;892;973;3;0;290;299;298;449;448;449;30;236
25.02.14;09:35:00;1;896;899;3;0;287;307;297;448;447;448;30;236
25.02.14;09:30:00;1;905;824;3;0;284;319;296;448;448;448;30;236
25.02.14;09:25:00;1;883;748;3;0;277;310;291;448;447;448;29;235
25.02.14;09:20:00;1;841;675;3;0;276;272;288;448;447;447;28;236
25.02.14;09:15:00;1;772;605;3;0;262;237;265;446;446;446;28;236
25.02.14;09:10:00;1;697;540;3;0;238;231;225;445;444;445;27;236
25.02.14;09:05:00;1;558;482;3;0;178;182;190;440;440;440;27;235
25.02.14;09:00:00;1;455;435;3;0;155;143;148;435;434;434;26;235
25.02.14;08:55:00;1;440;397;3;0;148;141;140;434;433;434;26;235
25.02.14;08:50:00;1;493;360;3;0;170;145;163;437;437;437;26;235
25.02.14;08:45:00;1;478;319;3;0;167;141;156;437;436;437;26;235
25.02.14;08:40:00;1;411;280;3;0;134;135;131;433;432;433;25;235
25.02.14;08:35:00;1;394;245;3;0;122;134;128;432;431;432;25;235
25.02.14;08:30:00;1;415;212;3;0;133;136;131;433;433;433;25;236
25.02.14;08:25:00;1;424;177;3;0;142;136;132;434;433;434;24;235
25.02.14;08:20:00;1;381;142;3;0;115;129;124;430;430;430;24;236
25.02.14;08:15:00;1;322;110;3;0;102;94;109;424;423;423;24;236
25.02.14;08:10:00;1;258;83;3;0;89;74;79;414;413;414;23;236
25.02.14;08:05:00;1;203;62;3;0;57;67;65;403;402;403;22;236
25.02.14;08:00:00;1;169;45;3;0;43;57;54;392;392;393;21;235
25.02.14;07:55:00;1;148;30;3;0;40;50;45;384;383;384;21;235
25.02.14;07:50:00;1;109;18;3;0;31;36;31;364;363;363;20;235
25.02.14;07:45:00;1;61;9;3;0;13;21;17;317;317;317;20;234
25.02.14;07:40:00;1;32;4;3;0;4;14;9;268;267;267;20;234
25.02.14;07:35:00;1;13;1;3;0;0;8;3;251;251;251;18;233
25.02.14;07:30:00;1;3;0;3;0;0;7;0;258;258;258;18;233
25.02.14;07:25:00;1;0;0;2;0;0;10;0;300;298;298;18;234
